"JAVADURATION","KOTLINDURATION","KOTLINLOOMDURATION","MACHINE","METHOD","REPETITION","SPACECOMPLEXITY","TIMECOMPLEXITY"
"10","-1","-1","Prototype","wait0Nanos - Wait 0 Nanos - Running - Yielding - Virtual Thread","2","n/a","n/a"
"103","-1","-1","Prototype","wait100Mills - Wait 100 Mills - Running - Parking - Yield - Virtual Thread","2","n/a","n/a"
"130","-1","-1","Prototype","saveWordsNio - Write to 1 file - Yield - Virtual Thread","2","n/a","n/a"
"233","-1","-1","Prototype","saveWordsNio - Write to 1 file - Pinning - Yield - Virtual Thread","2","n/a","n/a"
"1674","3911","1654","Prototype","findAllUniqueWords - All Unique Words","10000","n/a","n/a"
"1194","1268","1068","Prototype","findAllUniqueWordsWithCount - All Words with count","10000","n/a","n/a"
"168","844","360","Prototype","revertText - Reverted Text","10000","O(1)","O(n)"
"728","2987","1848","Prototype","contentSplitIterateSubtractAndSum - Double iteration of an array of words","10000","O(1)","O(n^2)"
"3180","2470","1012","Prototype","repetitionCount - Repetition count","10000","O(n)","O(n^2)"
"302","1577","725","Prototype","createAvlTree - Create AVL Tree","10000","O(n)","O(log n)"
"699","2593","470","Prototype","findPrimeSecret - Secret word in Sieve of Eratosthenes","10000","O(n)","O(n * log(log n))"
"155","530","248","Prototype","createSplayTree - Create Splay Tree","10000","O(n)","O(log n)"
"1770","4075","3993","Prototype","quickSort - Quick sort","10000","O(log n)","O(n * log n)"
"693","614","361","Prototype","makeTextFromWordFlow - Make text from word Flow","10000","n/a","n/a"
"85","299","181","Prototype","createIntersectionWordList - Intersection Text Algorithm","10000","O(n)","O(n)"
"517","463","43","Prototype","controlTest - N/A","10000","n/a","n/a"
"112","46","58","Prototype","generalTest - N/A","10000","n/a","n/a"
"-1","16","18","Prototype","findAllUniqueWords - wait0Nanos","2","n/a","n/a"
